Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,15.457850,17.680548,15.194045,17.677740,17.252966,103543063
2017-02-01,17.630032,18.460737,17.456034,17.818064,17.389917,76965941
2017-03-01,17.818064,18.320415,17.467258,17.983643,17.551516,91508941
2017-04-01,17.958385,19.013605,17.832094,18.833994,18.381437,97324860
2017-05-01,18.926605,19.473862,17.949966,19.473862,19.005928,152801267
2017-06-01,19.504730,19.566473,16.914391,17.150131,16.738035,156041319
2017-07-01,17.155745,18.112740,16.818972,18.036964,17.603559,59006154
2017-08-01,18.112740,21.048271,17.604774,21.028625,20.523333,71182804
2017-09-01,21.042658,21.803204,20.742371,21.668493,21.147825,105396658
2017-10-01,21.676912,23.568451,21.674107,23.228872,22.670712,94608956
2017-11-01,23.383226,23.383226,21.497301,21.957558,21.429943,123088492
2017-12-01,21.777945,23.790159,20.644144,22.810713,22.262600,126760765
2018-01-01,22.880875,25.931471,19.459827,20.122147,19.638636,294007042
2018-02-01,19.990246,21.166142,18.230610,20.849014,20.348038,151368489
2018-03-01,20.790079,22.406586,19.732054,20.545919,20.052225,125341526
2018-04-01,20.571177,21.581493,19.847116,20.141792,19.657808,80414442
2018-05-01,20.054792,23.273775,19.400892,22.636715,22.092781,134668659
2018-06-01,23.155905,25.499279,23.155905,23.736837,23.166470,114608697
2018-07-01,26.574144,26.983885,25.274763,25.965147,25.341236,180451280
2018-08-01,25.965147,27.250496,25.928663,26.989496,26.340971,100548163
2018-09-01,26.961432,27.789331,26.442242,27.256107,26.601177,109313016
2018-10-01,27.272947,27.472204,24.065189,25.367376,24.757828,148954752
2018-11-01,25.507698,30.090609,25.120411,29.602289,28.890982,248472782
2018-12-01,29.843641,30.000803,21.076336,24.769386,24.174208,274077051
2019-01-01,24.445007,25.088697,21.297516,24.627472,24.035704,175931424
2019-02-01,24.825138,28.945768,24.581856,28.291941,27.612118,86566557
2019-03-01,29.234669,31.008615,26.142929,29.746578,29.031805,100585119
2019-04-01,30.299038,34.211861,30.015205,34.166245,33.345268,63518568
2019-05-01,34.414597,35.757729,28.945768,30.182463,29.457216,80348649
2019-06-01,30.106438,30.172325,25.631020,25.747593,25.128910,103755728
2019-07-01,26.462240,29.989862,25.646223,29.265079,28.561874,114387833
2019-08-01,29.366447,29.979727,22.478458,26.117586,25.490011,153961478
2019-09-01,25.864166,28.347694,25.478966,26.284845,25.653254,108567088
2019-10-01,26.421694,27.445515,24.708567,26.806892,26.162754,68360109
2019-11-01,26.953876,28.727825,24.551445,24.576788,23.986238,90087969
2019-12-01,24.505829,26.497719,23.532690,26.046629,25.420761,98894850
2020-01-01,26.386213,26.670046,24.313229,24.718702,24.124743,103716072
2020-02-01,24.728840,27.161682,19.868221,20.506842,20.014088,133433989
2020-03-01,20.638620,22.154079,12.929549,20.045616,19.563944,187864129
2020-04-01,19.133301,22.133806,18.008108,21.637100,21.117188,106696288
2020-05-01,21.079575,25.342119,19.660416,25.159655,24.555099,97446076
2020-06-01,24.956919,27.992905,23.122149,27.845921,27.176817,155379472
2020-07-01,27.906740,31.875317,25.889507,30.324379,29.595722,137813657
2020-08-01,30.364927,34.272682,30.060822,33.492146,32.687374,85312720
2020-09-01,33.664471,34.911304,31.784084,34.308159,33.483776,101118026
2020-10-01,34.556515,36.213886,29.842878,30.542320,29.808426,64984110
2020-11-01,31.013685,35.732388,30.440952,34.987328,34.146626,65261512
2020-12-01,35.402939,38.210846,35.002533,37.146477,36.253891,106485376
2021-01-01,37.450584,39.391788,35.570198,36.943741,36.056030,100613134
2021-02-01,37.328941,42.164219,36.847439,41.089710,40.102375,98356024
2021-03-01,41.094780,46.381145,41.094780,44.678154,43.604591,120767135
2021-04-01,44.744045,52.610237,44.647743,49.837811,48.640266,123707496
2021-05-01,50.278763,51.545868,47.627979,49.994930,48.793613,77448144
2021-06-01,50.476433,53.025848,49.336037,50.516979,49.303116,103493322
2021-07-01,50.228081,51.120121,45.909782,48.971111,47.794395,76137281
2021-08-01,49.204258,52.042576,48.155094,49.396858,48.209911,69217969
2021-09-01,49.432339,53.857071,47.729347,52.731880,51.464798,122330933
2021-10-01,53.010643,58.286873,52.179420,55.747593,54.408047,116876575
2021-11-01,55.423214,58.000000,53.009998,56.470001,55.113094,138397202
2021-12-01,56.990002,59.490002,53.080002,56.169998,54.820301,84858000
